"","Trade.Name","City","Reviews","Number_of_Reviews"
"10824","MINI KWIK","AMSTERDAM",4.2,39
"10825","MINI M-MART","ROCHESTER",4.3,41
"10826","MINI MARKET","NEW YORK",0,0
"10827","MINI MARKET BEST WAY","NEW YORK",0,0
"10828","MINI MARKET PLUS","BROOKLYN",5,2
"10829","MINI MARKET TENARES","BROOKLYN",3,3
"10830","MINI MART","RIDGEWOOD",0,0
"10831","MINI MART & DELI","SCHENECTADY",5,NA
"10832","MINI MART EXPRESS","ROCHESTER",0,0
"10833","MINI MART&TRAVEL CENTER","FULTONVILLE",3.5,73
"10834","MINI MAX MARKET","BUFFALO",3.8,4
"10835","MINI ORANGE NY","PORT WASHINGTON",0,0
"10836","MINI STAR","NEW YORK",4.2,242
"10837","MINIERS","BIG FLATS",4.7,140
"10838","MINOA SUNOCO","EAST SYRACUSE",3.6,5
"10839","MINOGUE'S BEVERAGE CENT","MALTA",4.5,48
"10840","MINOGUES BEVERAGE CENTE","QUEENSBURY",4.2,19
"10841","MINTZ STORE","KAUNEONGA LAKE",0,0
"10842","MIRA POLISH DELI","BROOKLYN",4.2,32
"10843","MIRABITO #45","ITHACA",2.8,6
"10844","MIRABITO STORE # 113","DRYDEN",0,0
"10845","MIRABITO STORE # 132","NORWICH",0,0
"10846","MIRABITO STORE # 133","LAURENS",0,0
"10847","MIRABITO STORE # 134","ONEONTA",0,0
"10848","MIRABITO STORE #100","BINGHAMTON",0,0
"10849","MIRABITO STORE #101","VESTAL",0,0
"10850","MIRABITO STORE #102","JOHNSON CITY",0,0
"10851","MIRABITO STORE #103","BINGHAMTON",3.8,4
"10852","MIRABITO STORE #104","BINGHAMTON",0,0
"10853","MIRABITO STORE #105","BINGHAMTON",0,0
"10854","MIRABITO STORE #106","ILION",1,NA
"10855","MIRABITO STORE #107","CHADWICKS",0,0
"10856","MIRABITO STORE #109","ROME",0,0
"10857","MIRABITO STORE #110","CAZENOVIA",4,5
"10858","MIRABITO STORE #111","MARATHON",0,0
"10859","MIRABITO STORE #112","GREENE",0,0
"10860","MIRABITO STORE #114","FREEVILLE",3.5,2
"10861","MIRABITO STORE #115","LANSING",0,0
"10862","MIRABITO STORE #116","NEWARK VALLEY",3.8,13
"10863","MIRABITO STORE #117","CANDOR",0,0
"10864","MIRABITO STORE #118","OWEGO",0,0
"10865","MIRABITO STORE #119","WINDSOR",0,0
"10866","MIRABITO STORE #120","AFTON",0,0
"10867","MIRABITO STORE #121","BAINBRIDGE",0,0
"10868","MIRABITO STORE #123","LIBERTY",0,0
"10869","MIRABITO STORE #129","RICHFIELD SPRINGS",5,4
"10870","MIRABITO STORE #130","RICHMONDVILLE",4.6,5
"10871","MIRABITO STORE #61","CENTRAL SQUARE",0,0
"10872","MIRABITO STORE #62","CENTRAL SQUARE",0,0
"10873","MIRABITO STORE #63","CENTRAL SQUARE",0,0
"10874","MIRABITO STORE #64","PARISH",0,0
"10875","MIRABITO STORE #75","BINGHAMTON",0,0
"10876","MIRABITO STORE #76","VESTAL",0,0
"10877","MIRABITO STORE #77","BINGHAMTON",0,0
"10878","MIRABITO STORE #78","BINGHAMTON",0,0
"10879","MIRABITO STORE #81","WINDSOR",0,0
"10880","MIRABITO STORE #83","GLEN AUBREY",4,NA
"10881","MIRABITO STORE #84","BINGHAMTON",0,0
"10882","MIRABITO STORE #86","BINGHAMTON",0,0
"10883","MIRABITO STORE #87","ITHACA",0,0
"10884","MIRABITO STORE #88","BINGHAMTON",0,0
"10885","MIRABITO STORE #89","VESTAL",0,0
"10886","MIRABITO STORE #90","ENDICOTT",0,0
"10887","MIRABITO STORE #91","BINGHAMTON",0,0
"10888","MIRABITO STORE #99","BINGHAMTON",0,0
"10889","MIRABITOS","FULTON",0,0
"10890","MIRACLE GROCERIES","BRONX",4,3
"10891","MIRACLE STAR","BROOKLYN",0,0
"10892","MIRANDA DELI FOOD","BROOKLYN",0,0
"10893","MIRAPAKAY INDIAN GROCER","BUFFALO",4.5,35
"10894","MIRELIS GROCERY","STATEN ISLAND",4.4,7
"10895","MIS AMIGOS","CORONA",4.2,261
"10896","MIS HIJOS DELI & GROCER","NEW YORK",0,0
"10897","MISCELANEA NY","NEW YORK",4.8,195
"10898","MISHAEL GROCERY","HUNTINGTON STATION",0,0
"10899","MISHAL PETROLEUM","SPRING VALLEY",0,0
"10900","MITAD DEL MUNDO","EAST HAMPTON",4.9,12
"10901","MITCHS GENERAL STORE","EAST OTTO",4.7,25
"10902","MIXTAPE BUSHWICK","BROOKLYN",4.7,97
"10903","MIXTECA DELI GROCERY","BROOKLYN",4,4
"10904","MIZ BETTY'S DELIGHTS@GM","WATERTOWN",4.8,22
"10905","MJ DELI & CONVENIENT ST","JAMAICA",0,0
"10906","MJ DELI & GROCERY FOOD","JAMAICA",0,0
"10907","MJ FRUIT VEGETABLE","YONKERS",0,0
"10908","MJT GROCERY STORE","BROOKLYN",0,0
"10909","MK AFRICAN AMERICAN MKT","BRONX",4.4,14
"10910","MK GASOLINE","PATCHOGUE",0,0
"10911","MK GOODIES","BROOKLYN",4.5,47
"10912","MK HAPPY DELI NY","BROOKLYN",0,0
"10913","MKM FOOD","BRONX",4.8,6
"10914","MKMG DELI GROCERY","BROOKLYN",0,0
"10915","MKT AT REVERIE CREAMERY","MAYVILLE",4.7,117
"10916","MKTVIEW MINI MART","ROCHESTER",4.5,10
"10917","MKX 99 CENTS&UP","BRONX",4.7,7
"10918","MLS DELI GROCERY","BRONX",0,0
"10919","MMA VARIEDADES","STATEN ISLAND",0,0
"10920","MMP MEGAMART","WAPPINGERS FALLS",0,0
"10921","MNA DELI","FREEPORT",4.6,105
"10922","MNL DEVELOPMENT","BROOKLYN",0,0
"10923","MNOGUE'S BEVERAGE CENTE","SARATOGA SPRINGS",0,0
"10924","MNY CIRCLEVILLE","MIDDLETOWN",0,0
"10925","MO 99 CENTS PLUS","BROOKLYN",4.2,45
"10926","MO DELI & GRILL","NEW YORK",0,0
"10927","MO GOURMET DELI","RICHMOND HILL",0,0
"10928","MO MINI MART","BUFFALO",0,0
"10929","MO'S GOURMET","BRONX",0,0
"10930","MOAZEB BROTHER DELI","BROOKLYN",0,0
"10931","MOBIL","ISLIP TERRACE",3.2,37
"10932","MOBIL 44/55","HIGHLAND",0,0
"10933","MOBIL EXPRESS","NIAGARA FALLS",0,0
"10934","MOBIL FOOD MART","HIGHLAND",0,0
"10935","MOBIL GAS","HOLBROOK",3.9,31
"10936","MOBIL GAS PLUS","ROCHESTER",4.2,76
"10937","MOBIL GAS STATION","YONKERS",0,0
"10938","MOBIL MART","MIDDLETOWN",0,0
"10939","MOBIL MART #205","BUFFALO",0,0
"10940","MOBIL MART #206","BUFFALO",0,0
"10941","MOBIL MART 1023542","HICKSVILLE",3.8,24
"10942","MOBIL MART PERSAUDS","TONAWANDA",3.3,58
"10943","MOBIL MART WEST PORT","WESTPORT",0,0
"10944","MOBIL MINI MART","WOODBOURNE",4.1,28
"10945","MOBIL ON THE RUN","POUGHKEEPSIE",0,0
"10946","MOBIL PORT HENRY","PORT HENRY",4.2,23
"10947","MOBIL SNACK SHOP","KINGSTON",0,0
"10948","MOBIL WALLY MART","HARRIMAN",2.3,4
"10949","MOBY RICKS SEAFOOD","SARATOGA SPRINGS",4.7,73
"10950","MOCA FRUITS &VEGETABLES","BROOKLYN",4.3,4
"10951","MOCHA DELI GROCERY","NEW YORK",5,2
"10952","MODEL T MEATS","BROOKLYN",4.5,13
"10953","MODERN MARKET","MORAVIA",4.5,193
"10954","MODERN MEATS","BROOKLYN",3.9,11
"10955","MODUWA 84","NEW YORK",4.4,18
"10956","MOE GOURMET DELI","NEW YORK",4.4,39
"10957","MOE MART 2","WHITE PLAINS",0,0
"10958","MOES 1 DELI & GRILL","STATEN ISLAND",4.4,10
"10959","MOES GROCERY","NEW YORK",0,0
"10960","MOHABIR INTL TRADING 2/","QUEENS VILLAGE",5,2
"10961","MOHAMAD ALLY HALAL MEAT","RICHMOND HILL",0,0
"10962","MOHAN STOP&SHOP","JOHNSTOWN",0,0
"10963","MOHAWK DAIRY STORE","AMSTERDAM",3.2,10
"10964","MOHAWK GROCERY & DELI","SCHENECTADY",3.9,51
"10965","MOHAWK HARVEST COOP MKT","GLOVERSVILLE",4.4,165
"10966","MOHAWK PETROLEUM","SCHENECTADY",4.6,9
"10967","MOHAWK VILLAGE MARKET","MOHAWK",4.3,41
"10968","MOISHAS KOSHER DSCT SMT","BROOKLYN",4.4,596
"10969","MOISHES FRUIT&GROCERY","BROOKLYN",4.4,596
"10970","MOISIES DELI","NEWBURGH",4,82
"10971","MOJALI DELI & GROCERY","BRONX",0,0
"10972","MOLE POBLANO TUZANTLAN","YONKERS",3.9,50
"10973","MOLES TUZANTLAN","YONKERS",3.9,50
"10974","MOLINAS GROCERY","BROOKLYN",4.5,14
"10975","MOM & POPS","PORTER CORNERS",4.2,57
"10976","MOM & SON","FOREST HILLS",0,0
"10977","MOM & SON FISH MARKET","BRONX",4,12
"10978","MOMA GASTON DELI","BROOKLYN",3.5,22
"10979","MOMMY & ME","WOODHAVEN",0,0
"10980","MOMOFUKU MILK BAR","BROOKLYN",4.2,417
"10981","MONA LISA BAKERY","BROOKLYN",3.8,28
"10982","MONAS MARKET","BUFFALO",0,0
"10983","MONDAY DELI GROCERY","BRONX",0,0
"10984","MONDEL CHOCOLATES","NEW YORK",4.8,29
"10985","MONG KOK SUPERMARKET","BROOKLYN",3.3,10
"10986","MONHAGEN MINI MART","MIDDLETOWN",5,5
"10987","MONINAS GROCERY","BROOKLYN",4,6
"10988","MONKS BREAD","PIFFARD",0,0
"10989","MONNATS COUNTRY STORE","CROGHAN",4.5,11
"10990","MONREALE ITLN PSTRY SHP","RIDGEWOOD",0,0
"10991","MONROE AVE CNV STORE","ROCHESTER",5,3
"10992","MONROE CONVENIENCE","ROCHESTER",5,3
"10993","MONROE HEALTH FOOD CTR","MONROE",4.2,5
"10994","MONSEY GLATT KOSHER","MONSEY",4.7,410
"10995","MONSEY PLACE DELI & GRO","STATEN ISLAND",3.8,38
"10996","MONSTER NUTRITION","FARMINGDALE",4.9,49
"10997","MONTALBANOS ITAL FD SPE","STATEN ISLAND",4.6,79
"10998","MONTALBANOS OF ROSEBANK","STATEN ISLAND",4.6,79
"10999","MONTANA FOOD MARKET","ALBANY",3.9,7
"11000","MONTAUK FISH DOCK","MONTAUK",0,0
"11001","MONTE ALBAN II","BATAVIA",0,0
"11002","MONTE DE SION DELI","BROOKLYN",4.4,39
"11003","MONTE SINAI #2 BAKERY","INWOOD",3.5,13
"11004","MONTEREY MINIMARKET","WHITE PLAINS",3.4,13
"11005","MONTERIA FOOD","BRONX",0,0
"11006","MONTEROS DELI MINI MARK","CORONA",0,0
"11007","MONTEROS GROCERY","CORONA",4.7,3
"11008","MONTES GROCERY&DELI","BUFFALO",4.7,296
"11009","MONTGOMERY MART SUNOCO","MONTGOMERY",3.9,53
"11010","MONTGOMERY VALERO","ROCK TAVERN",4.2,98
"11011","MONTICELLO FRT MINI MKT","MONTICELLO",0,0
"11012","MONTICELLO GREEN MARKET","MONTICELLO",4.7,77
"11013","MONTICELLO KOSHER MRKT","MONTICELLO",0,0
"11014","MONTICELLO QUICK MART","MONTICELLO",4.6,7
"11015","MONTICELLO SHELL FD MT","MONTICELLO",0,0
"11016","MONTROSE BEER&SODA","CROTON ON HUDSON",4.1,23
"11017","MONTROSE SUNOCO","MONTROSE",3.7,6
"11018","MONTSE DELI","BROOKLYN",5,2
"11019","MONTYS","NEW YORK",0,0
"11020","MOON CONVENIENCE & DELI","BROOKLYN",0,0
"11021","MOON DELI","BROOKLYN",4.1,16
"11022","MOON LIGHT AFRICAN MARK","BRONX",4.5,21
"11023","MOON LIGHT BURMESE FOOD","UTICA",0,0
"11024","MOON VALLEY FARM","WEST NYACK",0,0
"11025","MOOS QUICK DELI","BRONX",0,0
"11026","MORALES GROCERY","BROOKLYN",5,16
"11027","MORAN FOODS","GLOVERSVILLE",0,0
"11028","MOREL DELI GROCERY","RIDGEWOOD",0,0
"11029","MORELOS GROCERY","BROOKLYN",4,2
"11030","MORENO DELI GROCERY","BRONX",4.7,98
"11031","MORGAN GOURMET DELI","BRONX",0,0
"11032","MORGANS GROCERY","PENN YAN",4.8,268
"11033","MORGANS HALF ACRE PRDC","AUBURN",0,0
"11034","MORIARTY MUSTARD","ELLICOTTVILLE",0,0
"11035","MORONTA GRCY","NEW YORK",0,0
"11036","MORONTAS SUPERMARKET","BRONX",3.8,6
"11037","MORRIS 1 GOURMET DELI","BRONX",4.2,6
"11038","MORRIS AVE DELI","BRONX",0,0
"11039","MORRIS AVE DELI & GROCE","BRONX",3.2,6
"11040","MORRIS FOOD","WOODRIDGE",0,0
"11041","MORSCHERS PORK STORE","RIDGEWOOD",4.7,72
"11042","MORTON FOOD&GROCERY","NEW YORK",0,0
"11043","MORTON WILLIAMS","NEW YORK",0,0
"11044","MORTON WILLIAMS SPRMKT","NEW YORK",0,0
"11045","MORTON WILLIAMS SPRMKTS","NEW YORK",0,0
"11046","MORTON WILLIAMS SPRMRKT","BRONX",3.8,412
"11047","MORTON WILLIAMS SUPERMA","NEW YORK",0,0
"11048","MORTON WILLIAMS SUPRMKT","NEW YORK",0,0
"11049","MORTON WILLIAMS UNIVERS","NEW YORK",3.5,154
"11050","MOS CONVENIENCE","MIDDLE VILLAGE",0,0
"11051","MOSES DELI","BRONX",4.8,4
"11052","MOSHE BAKE SHOP","NEW YORK",0,0
"11053","MOSHE BAKERY","BROOKLYN",0,0
"11054","MOSTLY TEA","BUFFALO",4.6,5
"11055","MOTHER EARTHS STOREHOUS","POUGHKEEPSIE",4,35
"11056","MOTHER EARTHS STREHOUSE","SAUGERTIES",4.6,10
"11057","MOTHER MOUSSE BAKERY","STATEN ISLAND",0,0
"11058","MOTHERS SUPER MARKET","BROOKLYN",0,0
"11059","MOTIS SUPERMARKET","MONSEY",4.7,31
"11060","MOTT EXPRESS GRILL AND","FAR ROCKAWAY",0,0
"11061","MOTT FAMOUS DELI","FAR ROCKAWAY",1,2
"11062","MOTTYS SUPPERMARKET","WHITE LAKE",4.6,52
"11063","MOUNT AVE FOOD MART","WYANDANCH",0,0
"11064","MOUNT IVY COUNTRY CORNE","POMONA",0,0
"11065","MOUNT KISCO SEAFOOD","MOUNT KISCO",4.8,21
"11066","MOUNT MART","MOUNT VERNON",0,0
"11067","MOUNT MORRIS C-STORE","MOUNT MORRIS",0,0
"11068","MOUNT VERNON ENERGY SER","MOUNT VERNON",3,NA
"11069","MOUNTAIN FRUIT","BROOKLYN",4.4,285
"11070","MOUNTAIN HARBOR DELI","GARDINER",4.1,85
"11071","MOUNTAIN KOSHER FOOD","MONTICELLO",4.6,89
"11072","MOUNTAIN MARKET","SPECULATOR",4.1,35
"11073","MOUNTAIN MART # 106","CANTON",5,NA
"11074","MOUNTAIN MART #107","MALONE",0,0
"11075","MOUNTAIN MART #108","MOIRA",3,4
"11076","MOUNTAIN MART #109","PLATTSBURGH",3.7,3
"11077","MOUNTAIN MART 101","MOOERS",2.7,3
"11078","MOUNTAIN MART 104","MALONE",3,NA
"11079","MOUNTAIN MART 105","MASSENA",0,0
"11080","MOUNTAIN MART 110","CHATEAUGAY",4.9,8
"11081","MOUNTAIN MART III","POTSDAM",0,0
"11082","MOUNTAIN SWEET BERRY FA","ROSCOE",0,0
"11083","MOUNTAIN TOP MARKET","STORMVILLE",4.6,29
"11084","MOUNTAINVIEW MARKET","SAUGERTIES",4.2,27
"11085","MOUSA MART ARMONK","ARMONK",0,0
"11086","MOZEB DELI","BROOKLYN",3.7,15
"11087","MP MINI MARKET","JAMAICA",4.4,8
"11088","MPW ENTERPRISES LLC","SUFFERN",0,0
"11089","MPY INTERNATIONAL FOODS","BROOKLYN",3.7,6
"11090","MR 99 CENTS","UNIONDALE",4.1,14
"11091","MR ARO","ASTORIA",0,0
"11092","MR BILLS CHEESECAKES","LINDENHURST",4.7,56
"11093","MR BROADWAY DELI","ROCKY POINT",4.7,6
"11094","MR CONVENIENT","ALBANY",0,0
"11095","MR DELI & GRILL","BROOKLYN",4.8,50
"11096","MR DOUGS DELI","ROCHESTER",4.5,276
"11097","MR FISH TREE","JAMAICA",0,0
"11098","MR GREENS","BROOKLYN",4.7,32
"11099","MR KOLD KUTS","YONKERS",4.8,90
"11100","MR LIME","BROOKLYN",4.5,110
"11101","MR LIME & MR KIWI","BROOKLYN",0,0
"11102","MR MANGO","BROOKLYN",4.6,319
"11103","MR MOES","ROCHESTER",4.6,71
"11104","MR MOES DELI","NEW YORK",4.4,183
"11105","MR NATURAL DELI","BROOKLYN",3.1,7
"11106","MR NICE GUY DELI & GRIL","BROOKLYN",4.1,19
"11107","MR NUTS","BROOKLYN",5,2
"11108","MR PINA FRUITS & VEGTBL","BROOKLYN",4.3,278
"11109","MR POT PIE MCDUFFIES BA","EAST AURORA",4.7,40
"11110","MR RICKS BAKERY/DELI","WATERTOWN",4.6,42
"11111","MR ROBERTS CONV STORE","GREENPORT",4,9
"11112","MR ROMANO CONVENIENCE","UTICA",4,8
"11113","MR SAMS DELI GROCERY","KINGSTON",0,0
"11114","MR VARIETY STORE","BUFFALO",0,0
"11115","MR. GATE 2 DELI & GRILL","BROOKLYN",4.5,13
"11116","MR. MELLON","BROOKLYN",4.5,133
"11117","MR. POT PIE, MCDUFFIES","HAMBURG",4.7,45
"11118","MRG NYC","NEW YORK",0,0
"11119","MRK PETROLUEM","WEST SAYVILLE",0,0
"11120","MRS THANK YOU","LEWISTON",5,9
"11121","MRS WHIZZY FIZZ POPS","BOLTON LANDING",4.3,15
"11122","MS CONVENIENCE","BROOKLYN",0,0
"11123","MS DELI AND GROCERY","FAR ROCKAWAY",0,0
"11124","MS GROCERY FOOD","BRONX",0,0
"11125","MSK FOOD","BAYSIDE",0,0
"11126","MSN CANDY GROCERY","NEW YORK",0,0
"11127","MT ARARAT BAKERY","BAYSIDE",4.6,50
"11128","MT EDEN GROCERY","BRONX",0,0
"11129","MT HAVEN DELI GROCERY","BRONX",0,0
"11130","MT HOPE CONVENIENCE MAR","ROCHESTER",0,0
"11131","MT KISCO FARM","MOUNT KISCO",4.5,23
"11132","MT KISCO SMOKEHOUSE","MOUNT KISCO",4.8,46
"11133","MT PLEASANT DELI AND GR","SCHENECTADY",4,15
"11134","MT READ GAS","ROCHESTER",0,0
"11135","MT SUGAR RUSH","WATERTOWN",0,0
"11136","MT SUPERMARKET","KINGSTON",0,0
"11137","MT VERNON DISCOUNT","MOUNT VERNON",0,0
"11138","MT VERNON SHELL","MOUNT VERNON",0,0
"11139","MT VERON CONVENIENCE ST","MOUNT VERNON",0,0
"11140","MTIFOOD","MASPETH",0,0
"11141","MTR GROCERY","BRONX",3,2
"11142","MUAMER","BROOKLYN",0,0
"11143","MUCHO LOCO DELI&GROCERY","BROOKLYN",4,70
"11144","MUDDY TRAIL JERKY CO","GRANVILLE",0,0
"11145","MUHAMMED DELI GROCERY","BROOKLYN",4.3,4
"11146","MUHAREM MARKET","UTICA",4.5,21
"11147","MUHLHAUS COFFEE","SCARSDALE",0,0
"11148","MUKTI E 163RD PETROLEUM","BRONX",3.6,23
"11149","MUNCHIES DELI & GRILL","BROOKLYN",0,0
"11150","MUNCHIES DELI GROCERY","BRONX",4.3,132
"11151","MUNDO GROCERY","ELMHURST",0,0
"11152","MUNDO LATINO GROCERY ST","RED HOOK",0,0
"11153","MUNG BEAN NATURAL FOODS","COMMACK",4.8,8
"11154","MUNSONS MINI MARKET","BRASHER FALLS",5,4
"11155","MURMURATION MALTS","BLOOMFIELD",0,0
"11156","MURRAYS CHEESE","NEW YORK",0,0
"11157","MURRAYS STURGEON SHOP","NEW YORK",4.6,63
"11158","MURRY HILL MINI MART","NEW YORK",0,0
"11159","MUSA GOURMET DELI","BRONX",0,0
"11160","MUSCLE UP PALEO","YAPHANK",5,5
"11161","MUSCOREILS FINE DESSERT","NORTH TONAWANDA",4.5,248
"11162","MUSHEER DELI","NEW YORK",1,NA
"11163","MUSKAN","RIPLEY",0,0
"11164","MUSTAFA GROCERY & DELI","BRONX",4,8
"11165","MUSTARD SEED THE","WATERTOWN",4.6,73
"11166","MV QUICK FOOD CORP","BROOKLYN",2.8,6
"11167","MY BARRIO GROCERY","BROOKLYN",4,NA
"11168","MY BEBE","WOODHAVEN",0,0
"11169","MY BROTHERS DELI & BAGE","STATEN ISLAND",4,41
"11170","MY BUS STOP DELI AND GR","BROOKLYN",4,32
"11171","MY BUTCHER","WADING RIVER",4.6,26
"11172","MY CITY DELI","JAMAICA",0,0
"11173","MY CLASSIC BAGELS & DEL","STATEN ISLAND",3.6,11
"11174","MY DADS","BUFFALO",3,418
"11175","MY DELI & FRUIT MARKET","BRONX",3,2
"11176","MY DELI FOOD MARKET","BROOKLYN",5,2
"11177","MY DELI GROCERY","NEW YORK",5,3
"11178","MY DREAM SNACK STORE","NEW YORK",4.4,171
"11179","MY FAMILY DELI GROCERY","BRONX",4.3,7
"11180","MY FAVORITE DELI","BROOKLYN",4.3,4
"11181","MY HARVEST","BROOKLYN",4.8,36
"11182","MY HOME FAVORITES","WESTBURY",4.9,15
"11183","MY LITTLE HOUSE MARKET","WYANDANCH",0,0
"11184","MY MAIN CONNECTION","STATEN ISLAND",5,2
"11185","MY MANDARIN","BROOKLYN",4.1,36
"11186","MY MARKET","NEW PALTZ",4.4,68
"11187","MY MARKET II","POUGHKEEPSIE",4.3,37
"11188","MY NEIGHBORHOOD DELI CO","LYNBROOK",5,NA
"11189","MY NEIGHBORS GROCERY ST","LONG ISLAND CITY",5,9
"11190","MY NEW DELI GROCERY","BROOKLYN",5,NA
"11191","MY PEOPLE GROCERY","BROOKLYN",5,5
"11192","MY PLACE DELI GROCERY","BROOKLYN",0,0
"11193","MY SWEET","BROOKLYN",5,25
"11194","MY SWEET DELI MARKET","NEW YORK",4.7,3
"11195","MY TOWN MARKET","HIGHLAND FALLS",3.8,140
"11196","MY TOWN MARKETPLACE","ROSENDALE",4.2,134
"11197","MY VICTORIA DELI","BROOKLYN",4.5,15
"11198","MY WAY MINI MARKET","ROCHESTER",0,0
"11199","MY WAY STATION","ROCHESTER",4.1,36
"11200","MYANMAR CHIN FAMILY CON","BUFFALO",0,0
"11201","MYERS MOBIL MART","SYRACUSE",0,0
"11202","MYKONOS FOOD","BRONX",0,0
"11203","MYMUN DELI AND GROCERY","JAMAICA",0,0
"11204","MYNG","POUGHKEEPSIE",0,0
"11205","MYRNAS DELI","MASPETH",0,0
"11206","MYRTLE AVE FAMILY MARKE","BROOKLYN",0,0
"11207","MYRTLE DELI & GROCERY","BROOKLYN",4,4
"11208","MYRTLE GOURMET DELI","BROOKLYN",0,0
"11209","MYRTLE GRACE GAS STATIO","BROOKLYN",0,0
"11210","MYRTLE GROCERY","RIDGEWOOD",0,0
"11211","MYRTLE MINI MART","RIDGEWOOD",0,0
"11212","MYW FOOD MARKET","BRONX",0,0
"11213","MZ GOURMET DELI","BROOKLYN",3.7,3
"11214","N & M MART","ALBANY",0,0
"11215","N & N GOURMET DELI 04/1","BRONX",0,0
"11216","N & S 191 FOOD CORP","HOLLIS",4.5,2
"11217","N A MINI MART","ROCHESTER",0,0
"11218","N AND A SUPERETTE","BROOKLYN",4.3,11
"11219","N COUNTRY EXPRESS MRKT","CLAYTON",0,0
"11220","N H DELI & GROCERY","BRONX",4.7,26
"11221","N MAIN ST DELI & CONVEN","SYRACUSE",4.4,14
"11222","N.A. CANDY STORE","NEW YORK",0,0
"11223","N&H DELI","NEW YORK",0,0
"11224","N&K SUPERMART","JACKSON HEIGHTS",0,0
"11225","N&M DELI","BUFFALO",0,0
"11226","N&M GROCERY DELI","STATEN ISLAND",4.3,37
"11227","N&S GOURMET DELI & GROC","BROOKLYN",0,0
"11228","NADAL 3 DELI CONVNIENCE","BRONX",4.3,195
"11229","NAFAYA","BROOKLYN",4.7,16
"11230","NAGI DELI","BRONX",0,0
"11231","NAGI MUNASSR M","BUFFALO",0,0
"11232","NAGILAH MARKET","FOREST HILLS",4,7
"11233","NAGLE 99 CENTS","NEW YORK",0,0
"11234","NAGLE OIL","PLATTEKILL",0,0
"11235","NAGUABO GROCERY","BRONX",0,0
"11236","NAGYS NEW LAND VINEYARD","GENEVA",0,0
"11237","NAHMIAS ET FILS","YONKERS",4.7,11
"11238","NAHSHAL DELI&GROCERY","BROOKLYN",4.6,5
"11239","NAIFS","GLOVERSVILLE",4.9,14
"11240","NAJAH","BUFFALO",0,0
"11241","NAKED MOOSE","OLD FORGE",0,0
"11242","NAKED MOOSE THE","OLD FORGE",0,0
"11243","NAMASTE","ROCHESTER",4.3,277
"11244","NAMMON CITGO LLC","BUFFALO",0,0
"11245","NANA DELI GROCERY","BROOKLYN",5,7
"11246","NANA PIES","LONG ISLAND CITY",0,0
"11247","NANA'S DISCOUNT","YONKERS",0,0
"11248","NANAS CANDY SHACK","NORTH TONAWANDA",0,0
"11249","NANCY AND FRIENDS DELI","BROOKLYN",5,NA
"11250","NANCY CONVENIENCE INC","BEACON",0,0
"11251","NANCY DELI & GROCERY","HEMPSTEAD",3.2,5
"11252","NANCY FOOD DELI","BROOKLYN",5,NA
"11253","NANDO DELI","RICHMOND HILL",4.4,765
"11254","NANHAI FRESH MARKET","BROOKLYN",0,0
"11255","NANITOS DELI","WEST BABYLON",4.3,73
"11256","NANNERYS GROCERY","BINGHAMTON",4.5,2
"11257","NANO DELI GROCERY","BROOKLYN",4.2,6
"11258","NANUET MINI MART","NANUET",4,5
"11259","NAPLES APOTHECARY","NAPLES",5,7
"11260","NAPOLI BAKERY","BROOKLYN",4.8,54
"11261","NAPOLIS ITALIAN BAKERY","UTICA",4.7,106
"11262","NARA JAPANESE FOODS","PORT WASHINGTON",0,0
"11263","NARBYS SUPERETTE","KENT",4.5,97
"11264","NARROWSBURG PROPER","NARROWSBURG",5,2
"11265","NASSARS FOOD CENTER","ROME",4.2,NA
"11266","NASSAU CANDY NORTH EAST","HICKSVILLE",0,0
"11267","NASSAU FINEST DELI","BROOKLYN",4.4,20
"11268","NASSAU GROCERY","NEW YORK",4.7,3
"11269","NASSAU KOSHER MEATS","EAST MEADOW",4.8,13
"11270","NASSER CANDY STORE","BROOKLYN",4.4,25
"11271","NATALIES GROCERY STORE","BROOKLYN",0,0
"11272","NATALY GOURMET DELI","STATEN ISLAND",0,0
"11273","NATHANIEL SQ CORNER STR","ROCHESTER",3.5,19
"11274","NATHANS FARM","BROOKLYN",4.5,26
"11275","NATIONAL FOOD CENTER","BROOKLYN",4.6,7
"11276","NATIONAL WHOLESALE LIQ","ROSEDALE",0,0
"11277","NATIONAL WHOLESALE LIQD","BROOKLYN",3.9,NA
"11278","NATURAL","GARDEN CITY",4.4,90
"11279","NATURAL 7 FOOD","WOODSIDE",4.4,12
"11280","NATURAL CHOICE DELI","NEW YORK",3.9,26
"11281","NATURAL CHOICE HLT FD","ROCKVILLE CENTRE",4.3,3
"11282","NATURAL CORNER","BROOKLYN",3.5,2
"11283","NATURAL DELI","NEW YORK",2.7,6
"11284","NATURAL FOOD DELI","NEW YORK",4.7,3
"11285","NATURAL FOOD DELI & GRI","BROOKLYN",4.7,3
"11286","NATURAL FRESH MARKET","NEW YORK",0,0
"11287","NATURAL FRONTIER MARKET","BROOKLYN",4.3,38
"11288","NATURAL GREEN MARKET 2","NEW YORK",3.7,20
"11289","NATURAL HEALTH FOOD MAR","NEW YORK",0,0
"11290","NATURAL HEALTH MARKET","MOUNT VERNON",4.6,12
"11291","NATURAL HEALTHY FOOD ST","BROOKLYN",0,0
"11292","NATURAL JUICE NY","BROOKLYN",0,0
"11293","NATURAL LINK THE","LEWISTON",5,19
"11294","NATURAL MARKET","JAMAICA",0,0
